misc,input,animations,measure,draw,sync,gpu,timestamp
8.382088,0.003,2.2985,0.291154,12.859846,3.616385,12.899154,136442315352358
9.383959,0.003808,1.876307,0.286654,33.529654,1.742731,13.461384,136442331922449
30.24181,0.003693,1.868654,0.299769,13.197346,2.008769,12.665962,136442348498482
0.590445,0.003615,9.479423,0.229539,2.078346,2.152308,16.84323,136442398234886
0.654677,0.004385,8.61023,0.233231,7.027692,6.167423,15.62077,136442414806654
6.141682,0.004192,4.937269,0.217231,11.849539,2.115115,12.215462,136442431380226
0.590445,0.003615,9.479423,0.229539,2.078346,2.152308,16.84323,136442398234886
0.654677,0.004385,8.61023,0.233231,7.027692,6.167423,15.62077,136442414806654
6.141682,0.004192,4.937269,0.217231,11.849539,2.115115,12.215462,136442431380226
6.71295,0.0045,77.24927,9.7865,4.563077,2.58723,13.39677,136442762761611
85.101991,0.003423,7.973616,0.241731,1.827461,2.540154,13.445769,136442795903147
0.560576,0.004538,11.1525,0.224654,1.354423,1.980808,13.885846,136442895327755
1.953585,0.0045,8.196769,0.278269,3.698846,2.372847,54.561,136442912023515
0.639298,0.004731,9.648115,0.263577,45.395,2.21477,11.359615,136442928597763
43.116587,0.004424,8.453615,0.242231,4.915615,2.367923,17.102615,136442945167320
13.703727,0.004577,9.570038,0.318962,4.689077,2.3935,14.108692,136442994876873
14.55523,0.003846,2.894154,0.230461,12.574039,2.023192,15.546346,136443011435447
20.617907,0.003731,7.669539,0.247461,4.391115,3.375693,104.0845,136443028009577
5.33276,0.004615,4.621462,0.250384,98.651039,2.4965,14.758769,136443061148840
95.258387,0.004384,2.467385,0.1755,13.578808,1.725577,12.593615,136443077716136
86.29607,0.004423,6.627,0.268769,1.289,2.141847,16.271346,136443177153914
36.145044,0.004077,300.667884,0.291385,1.689269,2.299346,16.954808,136443276589940
322.027534,0.004769,4.844577,0.280115,1.029077,1.845616,16.886038,136443326306604
9.758243,0.004808,1.9985,0.231769,9.295038,2.013577,14.534039,136443657762241
36.145044,0.004077,300.667884,0.291385,1.689269,2.299346,16.954808,136443276589940
322.027534,0.004769,4.844577,0.280115,1.029077,1.845616,16.886038,136443326306604
9.758243,0.004808,1.9985,0.231769,9.295038,2.013577,14.534039,136443657762241
0.501013,0.004269,8.8635,1.661154,12.750692,1.992885,26.509654,136443690922548
0.623463,0.004615,10.895654,0.284192,9.488231,1.751462,19.703038,136443724074598
0.55116,0.003924,9.486038,0.230461,1.772539,2.169923,17.461115,136443757221208
0.567813,0.003885,8.657269,0.260192,1.2475,1.537269,12.852077,136443790367940
0.464265,0.004731,8.933731,0.265807,1.332039,1.740808,13.321769,136443806940757
0.995306,0.004385,8.178231,0.3015,1.439577,1.836384,13.654193,136443823511985
1.596174,0.004462,7.585077,0.262615,1.137423,2.033808,15.8825,136443856668271
0.605643,0.0045,8.611884,0.251077,1.241808,1.725385,13.49073,136443889812687
0.581764,0.00473,9.399923,0.236693,1.08973,1.831039,16.241423,136443922958874
1.497241,0.004423,8.654923,0.2075,1.1795,1.926154,13.048654,136443956107204
0.863726,0.003769,8.306731,0.200731,1.039307,1.6175,12.37727,136443989252950
0.554741,0.004346,8.919654,0.299423,1.141577,1.776192,13.315885,136444022400358
1.761971,0.004539,7.93623,0.241924,2.1315,2.158576,13.553193,136444055571897
0.50113,0.015385,8.836961,0.170154,1.078731,1.898038,12.80777,136444088716161
1.237109,0.003577,8.658231,0.191538,1.054231,1.597846,12.940962,136444121861105
0.502002,0.012346,8.870115,0.197962,1.067885,1.66273,13.031231,136444155006597
0.526074,0.003731,9.299807,0.205424,0.980115,1.660769,12.911192,136444188157371
0.488133,0.003692,9.5475,0.206808,1.292846,1.736154,13.386269,136444221302658
0.501989,0.003423,9.796,0.210461,1.379731,1.550039,13.857923,136444254445687
0.602338,0.003576,8.813,0.198462,0.963308,1.512807,12.646077,136444287598569
0.624022,0.0035,8.587885,0.2005,1.223923,1.956308,12.310576,136444320740192
0.68015,0.003885,8.677269,0.17227,1.125961,1.535692,12.611462,136444353883256
0.658556,0.004731,8.572692,0.195885,0.993807,1.58327,12.813769,136444387025389
0.563296,0.004384,8.769154,0.254923,1.179923,2.134923,12.554539,136444420185803
0.485093,0.0035,10.3315,0.186538,1.474539,1.886615,15.299154,136444453325006
71.155436,0.003654,166.468808,0.236692,1.760462,2.010807,13.065577,136444486471470
170.623316,0.044115,2.026577,0.271538,1.046077,1.711269,11.70477,136444569376706
0.537494,0.003731,8.671692,0.188654,1.065616,1.596115,13.054115,136444768272758
10.520292,0.003538,2.197962,0.170346,0.926462,1.587192,11.448885,136444784848268
0.689487,0.004654,8.491923,0.218308,2.369885,1.576154,12.962884,136444801388111
0.657786,0.003846,9.881231,0.196961,1.154231,1.739692,14.17927,136444834518428
15.419436,0.005538,9.921616,0.165692,1.247038,1.572577,13.719116,136444851078701
0.480765,0.004461,8.795231,0.182769,2.712039,1.655884,11.687847,136444884224449
0.657786,0.003846,9.881231,0.196961,1.154231,1.739692,14.17927,136444834518428
15.419436,0.005538,9.921616,0.165692,1.247038,1.572577,13.719116,136444851078701
0.480765,0.004461,8.795231,0.182769,2.712039,1.655884,11.687847,136444884224449
0.533467,0.004808,9.230039,0.22523,12.259116,1.786307,11.659885,136444900797631
0.640619,0.004923,8.613539,0.327076,1.373654,1.618923,11.875808,136444933932864
0.515134,0.004384,8.858693,0.264884,1.063654,1.501308,12.852961,136444967078426
0.473505,0.004692,9.851538,0.236923,1.062231,1.669308,13.378231,136445000217786
0.882767,0.005769,8.41877,0.176307,1.067385,1.651961,11.123346,136445033363562
0.653281,0.004654,9.159308,0.201154,1.051692,1.972615,13.891346,136445066504317
0.711226,0.003654,6.863846,0.161962,1.021076,1.481308,10.769731,136445099646103
0.639085,0.00373,8.811885,0.207,0.960731,1.613115,12.905423,136445132787129
16.737489,0.004039,25.984192,0.177269,1.166577,1.4725,13.092462,136445165927186
0.697153,0.004115,8.717654,0.202346,1.242616,1.612038,12.400731,136445215671830
0.614628,0.006769,8.915038,0.239539,1.156923,1.921077,13.453615,136445248816432
0.476706,0.004039,9.220038,0.205423,1.124077,1.483846,13.189731,136445281999315
0.950815,0.003885,8.712346,0.176654,1.348961,1.556154,13.418885,136445315137360
0.551367,0.003539,8.094153,0.187193,1.178231,1.818846,13.495692,136445348362154
0.455363,0.004,9.891538,0.265116,0.972846,1.611346,12.357577,136445381589389
0.500902,0.004077,9.026923,0.193192,0.986269,1.488192,13.308731,136445414784581
0.603422,0.003462,1.6995,0.212884,0.999423,1.684,11.4385,136445447905522
0.782905,0.003347,6.074846,0.190884,1.172231,1.523692,11.539231,136445464485231
37.932517,0.004615,1.954654,0.180808,0.871769,1.5365,12.365154,136445514130581
5.08566,0.003616,1.55373,0.214039,0.934308,1.454884,12.490692,136445580438053
0.766305,0.0035,1.647115,0.257769,0.859846,1.505308,11.347077,136445613573101
0.546016,0.003654,1.844808,0.233654,0.980615,1.907538,13.814885,136445646690774
0.584314,0.003846,1.644115,0.20527,0.889423,1.589731,13.132576,136445679823207
0.887181,0.004154,1.976615,0.238962,0.99723,1.486116,10.9315,136445696403917
0.456657,0.003538,1.518808,0.2045,1.033808,1.505038,11.479269,136445729552941
0.549815,0.003808,2.009423,0.213961,1.189731,1.862654,12.693308,136445762707129
0.575032,0.004039,1.765,0.186346,1.426539,1.639615,13.083846,136445795829873
0.975425,0.003538,1.856885,0.197154,1.333538,1.500423,12.866962,136445828948096
0.549815,0.003808,2.009423,0.213961,1.189731,1.862654,12.693308,136445762707129
0.575032,0.004039,1.765,0.186346,1.426539,1.639615,13.083846,136445795829873
0.975425,0.003538,1.856885,0.197154,1.333538,1.500423,12.866962,136445828948096
1.37489,0.003923,1.747923,0.198807,0.90127,1.541346,11.924115,136446790275092
0.885745,0.004346,1.692039,0.190038,1.174039,1.642153,11.536924,136446806848775
0.696024,0.024538,1.747346,0.216039,0.869,1.59323,10.987654,136446823422458
0.61761,0.004308,1.618076,0.187616,1.038154,1.681846,11.543038,136446839996141
0.447354,0.003462,1.598769,0.186577,0.828269,1.572423,10.889731,136446856453243
0.492878,0.003731,1.573885,0.243038,1.359346,1.505193,13.501384,136446889889334
0.914904,0.003807,2.246539,0.233038,1.012616,1.606346,10.898577,136446906556001
0.432967,0.003616,1.7845,0.213615,1.001423,1.5405,11.794077,136446939290399
0.513338,0.003615,1.5865,0.179846,0.861577,1.5025,12.931539,136446972422913
0.882651,0.003653,1.533539,0.214385,1.204076,1.456385,13.340654,136447005625677
0.740057,0.003962,1.634154,0.189884,1.137769,1.52227,13.516884,136447038768232
0.789901,0.003885,1.647615,0.197962,1.148615,1.609269,13.177769,136447072030042
1.330581,0.003846,1.790462,0.208923,1.123038,1.587462,11.18,136447088613785
0.890458,0.003576,1.571077,0.209077,1.375539,1.479538,11.481577,136447121872370
0.186538,0.003923,1.769539,0.192,1.107885,1.518576,13.170616,136447154855443
0.54294,0.003692,1.795346,0.204731,0.951423,1.638808,13.013461,136447188155157
0.782961,0.00377,1.71,0.254923,1.038692,1.577269,12.796577,136447221332366
1.114004,0.003961,1.670962,0.201115,1.129962,1.593692,12.728077,136447254423862
0.802363,0.003769,1.682808,0.207808,1.141423,1.581884,13.084462,136447287533426
0.67249,0.003462,1.708154,0.248077,1.159346,1.529308,12.704846,136447320707260
0.948708,0.004846,1.935231,0.251616,1.196653,1.553731,12.505846,136447353872196
0.802363,0.003769,1.682808,0.207808,1.141423,1.581884,13.084462,136447287533426
0.67249,0.003462,1.708154,0.248077,1.159346,1.529308,12.704846,136447320707260
