Flags,IntendedVsync,Vsync,OldestInputEvent,NewestInputEvent,HandleInputStart,AnimationStart,PerformTraversalsStart,DrawStart,SyncQueued,SyncStart,IssueDrawCommandsStart,SwapBuffers,FrameCompleted,DequeueBufferDuration,QueueBufferDuration,GpuCompleted
0,136440243637480,136440243637480,9223372036854775807,0,136440248851025,136440248854102,136440254171871,136440254392371,136440255268602,136440258883832,136440260731217,136440269477371,136440270751909,363884,565423,136440278836717
0,136440260213739,136440260213739,9223372036854775807,0,136440260763140,136440260766756,136440270411256,136440270654832,136440271543256,136440272334871,136440274156409,136440280955948,136440282205679,317808,617385,136440291800794
0,136440276788462,136440276788462,9223372036854775807,0,136440277381448,136440277385294,136440287046371,136440287317140,136440290653294,136440291550602,136440293770140,136440301401563,136440302660948,301923,600115,136440311723140
0,136440293371445,136440326704779,9223372036854775807,0,136440329809371,136440329812986,136440337946640,136440338161063,136440340597409,136440341449986,136440344786794,136440352247602,136440353501794,366307,597154,136440362881217
0,136440343095305,136440376428639,9223372036854775807,0,136440385529640,136440385559563,136440386714294,136440386948755,136440389122986,136440390044217,136440393501255,136440401373794,136440402919794,362731,748500,136440412230063
0,136440392836574,136440392836574,9223372036854775807,0,136440395406217,136440395410563,136440468466640,136440472384755,136440552591486,136440553256755,136440557832755,136440733909563,136440736838024,422731,761231,136440747286563
0,136440409410944,136440542744280,9223372036854775807,0,136440557982794,136440557986717,136440559287794,136440559555294,136440562034640,136440738450948,136440740912178,136440750996909,136440752506563,370615,830961,-17822682942210048
0,136440558609281,136440741942618,9223372036854775807,0,136440750962871,136440750967024,136440891765755,136440893986178,136440945317755,136440946288063,136440952260486,136441129244601,136441132287870,386846,730461,-4597330794615100012
1,136440873491459,136441156824798,9223372036854775807,0,136441167898255,136441167902909,136441254102793,136441264102716,136441298417793,136441299155101,136441301898793,136441328806409,136441330083062,626577,632116,0
0,136440409410944,136440542744280,9223372036854775807,0,136440557982794,136440557986717,136440559287794,136440559555294,136440562034640,136440738450948,136440740912178,136440750996909,136440752506563,370615,830961,136440762829101
0,136440558609281,136440741942618,9223372036854775807,0,136440750962871,136440750967024,136440891765755,136440893986178,136440945317755,136440946288063,136440952260486,136441129244601,136441132287870,386846,730461,136441140608563
1,136440873491459,136441156824798,9223372036854775807,0,136441167898255,136441167902909,136441254102793,136441264102716,136441298417793,136441299155101,136441301898793,136441328806409,136441330083062,626577,632116,136441340353216
0,136441188379096,136441521712436,9223372036854775807,0,136441527736524,136441527742062,136441766606678,136441767819254,136441785483793,136441786591639,136441789722331,136441924158331,136441925402562,471500,612423,136441936612947
0,136441536414204,136441886414211,9223372036854775807,0,136441888921024,136441888925254,136442011259485,136442011576947,136442022701985,136442023960947,136442025787100,136442035700562,136442038473831,410769,794807,136442049707485
0,136441901035560,136442084368897,9223372036854775807,0,136442097067485,136442097071639,136442103431485,136442103662716,136442106042062,136442106719947,136442109480100,136442126357485,136442127571139,298346,553385,136442139031408
0,136442116584113,136442116584113,9223372036854775807,0,136442121232139,136442121235754,136442126508370,136442126781562,136442128355870,136442129238254,136442131281139,136442143843754,136442145113523,433500,617038,136442156510177
